config,a,s,b,n,K,seed,last,average,anchor_average,floor,estimated_exponent,estimated_intercept,predicted_saturation,measured_saturation,fitted_coordinates,anchor_fraction
default,2.0,1.5,2.0,256,1,0,0.11139473715093175,0.1584827253041676,0.18313260157322822,0.04237938562977577,0.3381835244288206,1.3036185140246388,8.856104986380616,9.550666491795925,4,0.0032958984375
default,2.0,1.5,2.0,256,2,0,0.0636807765944906,0.10040573970764435,0.13722091547371287,0.04237938562977577,0.3381835244288206,1.3036185140246388,8.856104986380616,9.550666491795925,4,0.0032958984375
default,2.0,1.5,2.0,256,4,0,0.05342120273000667,0.07100414486501228,0.11689197067625981,0.04237938562977577,0.3381835244288206,1.3036185140246388,8.856104986380616,9.550666491795925,4,0.0032958984375
default,2.0,1.5,2.0,256,8,0,0.045587304870396916,0.05541461649241033,0.10795018115554511,0.04237938562977577,0.3381835244288206,1.3036185140246388,8.856104986380616,9.550666491795925,4,0.0032958984375
default,2.0,1.5,2.0,256,16,0,0.039787170060464415,0.04646225184538816,0.10336227884342127,0.04237938562977577,0.3381835244288206,1.3036185140246388,8.856104986380616,9.550666491795925,4,0.0032958984375
default,2.0,1.5,2.0,256,32,0,0.038520270240740985,0.04138327206666692,0.10076400814112967,0.04237938562977577,0.3381835244288206,1.3036185140246388,8.856104986380616,9.550666491795925,4,0.0032958984375
default,2.0,1.5,2.0,256,64,0,0.03831280504553124,0.03918368885580011,0.09968943607677255,0.04237938562977577,0.3381835244288206,1.3036185140246388,8.856104986380616,9.550666491795925,4,0.0032958984375
default,2.0,1.5,2.0,256,128,0,0.03811709743146948,0.0384332741016088,0.09930377423858151,0.04237938562977577,0.3381835244288206,1.3036185140246388,8.856104986380616,9.550666491795925,4,0.0032958984375
default,2.0,1.5,2.0,256,256,0,0.03811558163383065,0.03820060128325834,0.0991786130742942,0.04237938562977577,0.3381835244288206,1.3036185140246388,8.856104986380616,9.550666491795925,4,0.0032958984375
default,2.0,1.5,2.0,256,512,0,0.03811594990355858,0.0381370078730269,0.09914399766083054,0.04237938562977577,0.3381835244288206,1.3036185140246388,8.856104986380616,9.550666491795925,4,0.0032958984375
default,2.0,1.5,2.0,256,1024,0,0.03811596623362081,0.0381210584698153,0.09913521730069362,0.04237938562977577,0.3381835244288206,1.3036185140246388,8.856104986380616,9.550666491795925,4,0.0032958984375
default,2.0,1.5,2.0,256,2048,0,0.038115966315409,0.03811715513870553,0.0991330208764761,0.04237938562977577,0.3381835244288206,1.3036185140246388,8.856104986380616,9.550666491795925,4,0.0032958984375
default,2.0,1.5,2.0,256,1,1,0.0968821606683872,0.13267605705737234,0.15734371881330483,0.04237938562977577,0.40031271454819256,1.4067019766725422,11.274471055071391,30.836402657060066,5,0.0035400390625
default,2.0,1.5,2.0,256,2,1,0.11162813593191727,0.10517568960917238,0.13332344852073416,0.04237938562977577,0.40031271454819256,1.4067019766725422,11.274471055071391,30.836402657060066,5,0.0035400390625
default,2.0,1.5,2.0,256,4,1,0.06453053262657163,0.08370475927665419,0.11594302985543449,0.04237938562977577,0.40031271454819256,1.4067019766725422,11.274471055071391,30.836402657060066,5,0.0035400390625
default,2.0,1.5,2.0,256,8,1,0.06287377380369452,0.06725247893568566,0.10437565408673086,0.04237938562977577,0.40031271454819256,1.4067019766725422,11.274471055071391,30.836402657060066,5,0.0035400390625
