b,n,K,seed,last,average,floor
2.0,1024,512,0,0.017243705341889685,0.017256598746097567,0.016845637376642332
2.0,1024,512,1,0.019147310521196805,0.019166696252989696,0.016845637376642332
2.0,1024,512,2,0.019828120409288264,0.01987376840383272,0.016845637376642332
2.0,1024,512,3,0.016230164520065756,0.01622133254045499,0.016845637376642332
2.0,1024,512,4,0.017824100508429835,0.01783731383865989,0.016845637376642332
2.0,2048,512,0,0.01110728260843101,0.011121248576447609,0.01061499937018547
2.0,2048,512,1,0.011264312044519097,0.011282609389044698,0.01061499937018547
2.0,2048,512,2,0.012552396476354033,0.01256885261742398,0.01061499937018547
2.0,2048,512,3,0.010466902640706608,0.010488759997714233,0.01061499937018547
2.0,2048,512,4,0.010680952855401701,0.010706186350335548,0.01061499937018547
2.0,4096,512,0,0.006840198701870376,0.006861805479277295,0.006688008024161136
2.0,4096,512,1,0.007836516531345991,0.007850248474317593,0.006688008024161136
2.0,4096,512,2,0.006916446292989192,0.006937216063844265,0.006688008024161136
2.0,4096,512,3,0.006957527721696613,0.006975361932596462,0.006688008024161136
2.0,4096,512,4,0.007734665697006657,0.0077536891331459875,0.006688008024161136
2.0,8192,512,0,0.004317257890419941,0.004331655746940288,0.004213607946682828
2.0,8192,512,1,0.004716883381452626,0.004734024620793864,0.004213607946682828
2.0,8192,512,2,0.003794123417229126,0.0038125429246565535,0.004213607946682828
2.0,8192,512,3,0.0042270654436622835,0.004241988737665582,0.004213607946682828
2.0,8192,512,4,0.0045922989731192205,0.004608284923838442,0.004213607946682828
2.4,256,512,0,0.008515910428521303,0.008524083696874756,0.009600132297526306
2.4,256,512,1,0.012566978467619939,0.01257130036843426,0.009600132297526306
2.4,256,512,2,0.007716372957446366,0.0077260497673461185,0.009600132297526306
2.4,256,512,3,0.013371803743370856,0.013377699597389308,0.009600132297526306
2.4,256,512,4,0.008528195525854114,0.008536094783357378,0.009600132297526306
2.4,512,512,0,0.003984191119457664,0.0039944976667766075,0.005035922810068477
2.4,512,512,1,0.005576866843707287,0.005588849059312963,0.005035922810068477
2.4,512,512,2,0.005145257229809683,0.005148706878269948,0.005035922810068477
2.4,512,512,3,0.004650161186151686,0.004660351041706357,0.005035922810068477
2.4,512,512,4,0.005140542499117503,0.005144113087976756,0.005035922810068477
2.4,1024,512,0,0.0026971249545081175,0.002699644823174162,0.0026393678401369883
2.4,1024,512,1,0.003202577306195011,0.0032059247479494474,0.0026393678401369883
2.4,1024,512,2,0.0033019523659205924,0.00330896052271449,0.0026393678401369883
2.4,1024,512,3,0.0024219358784971423,0.002423701547924397,0.0026393678401369883
2.4,1024,512,4,0.0027921736851572376,0.002795699157252533,0.0026393678401369883
2.4,2048,512,0,0.0015292005322198072,0.0015314469249993264,0.0013827066813101524
2.4,2048,512,1,0.001464657968767708,0.0014678416687670223,0.0013827066813101524
2.4,2048,512,2,0.0018373502354253276,0.001840149942749473,0.0013827066813101524
2.4,2048,512,3,0.001348993601870438,0.0013518586470446592,0.0013827066813101524
2.4,2048,512,4,0.0013737903305534541,0.0013780686739934024,0.0013827066813101524
2.4,4096,512,0,0.0007490008508038425,0.0007515684680217393,0.0007242115237473748
2.4,4096,512,1,0.000910237341448611,0.0009121281598658367,0.0007242115237473748
2.4,4096,512,2,0.0007548351426907859,0.0007574026872525178,0.0007242115237473748
2.4,4096,512,3,0.0007812143382301415,0.0007835337097162085,0.0007242115237473748
2.4,4096,512,4,0.0008743527131550244,0.0008765619148891847,0.0007242115237473748
2.4,8192,512,0,0.00039608298947913596,0.00039766103354697493,0.00037927656615342357
2.4,8192,512,1,0.0004547872599218032,0.00045669641370541203,0.00037927656615342357
2.4,8192,512,2,0.0003218302339450454,0.00032385111667239917,0.00037927656615342357
2.4,8192,512,3,0.00038106208874162727,0.00038272788201753477,0.00037927656615342357
2.4,8192,512,4,0.00043564872426015853,0.0004374775319424755,0.00037927656615342357
