b,n,K,seed,last,average,floor
1.4,256,512,0,0.6353882509685024,0.6354567325218696,0.6643756107506337
1.4,256,512,1,0.6916561680161522,0.691948735095959,0.6643756107506337
1.4,256,512,2,0.6455860469124126,0.6462059306239128,0.6643756107506337
1.4,256,512,3,0.6965165310244081,0.6960635942643387,0.6643756107506337
1.4,256,512,4,0.6614765899855487,0.6620044600686548,0.6643756107506337
1.4,512,512,0,0.5340105602601144,0.5347051880849126,0.5524383202279007
1.4,512,512,1,0.5901846545825364,0.5906415403520244,0.5524383202279007
1.4,512,512,2,0.5746501211500207,0.5744415987923742,0.5524383202279007
1.4,512,512,3,0.5450552340399325,0.5459444657708952,0.5524383202279007
1.4,512,512,4,0.5678729957434115,0.5686791055455437,0.5524383202279007
1.4,1024,512,0,0.46494602533306656,0.46532407430677797,0.45928777557494255
1.4,1024,512,1,0.482261425569999,0.48265199313359464,0.45928777557494255
1.4,1024,512,2,0.4895303956939836,0.49121908105511003,0.45928777557494255
1.4,1024,512,3,0.470898761386084,0.4702904623219359,0.45928777557494255
1.4,1024,512,4,0.4740908211902902,0.47410756652009883,0.45928777557494255
1.4,2048,512,0,0.3820401908556929,0.38239119528837606,0.38181771910211926
1.4,2048,512,1,0.3982914034035649,0.39856695132390385,0.38181771910211926
1.4,2048,512,2,0.39975277645675766,0.4002751256896685,0.38181771910211926
1.4,2048,512,3,0.38173117835527753,0.3825147933676763,0.38181771910211926
1.4,2048,512,4,0.3877628481903534,0.3881524077336265,0.38181771910211926
1.4,4096,512,0,0.3219526390595282,0.32264567450398424,0.3174121190976681
1.4,4096,512,1,0.3359991107331726,0.336363971000036,0.3174121190976681
1.4,4096,512,2,0.32319638445487275,0.3239676663374381,0.3174121190976681
1.4,4096,512,3,0.32022442661479067,0.3207599052406822,0.3174121190976681
1.4,4096,512,4,0.337136112441018,0.3377834530408539,0.3174121190976681
1.4,8192,512,0,0.26616184461731257,0.2666918790686697,0.263885747914612
1.4,8192,512,1,0.27359998487008097,0.27418092272818934,0.263885747914612
1.4,8192,512,2,0.2557831298429963,0.25659016760659353,0.263885747914612
1.4,8192,512,3,0.2650375008539681,0.2655886610594687,0.263885747914612
1.4,8192,512,4,0.27220118657827014,0.2726769232323267,0.263885747914612
1.7,256,512,0,0.1372986209723686,0.1373380538725953,0.14870933101798287
1.7,256,512,1,0.16285081218066388,0.16292088541933747,0.14870933101798287
1.7,256,512,2,0.13780320706675891,0.13795715865837344,0.14870933101798287
1.7,256,512,3,0.1623787480766383,0.16226972510428178,0.14870933101798287
1.7,256,512,4,0.14521397363987745,0.14533902217214548,0.14870933101798287
1.7,512,512,0,0.09903109396600134,0.09916245405652498,0.107683175666655
1.7,512,512,1,0.11766537574167746,0.11782744525717614,0.107683175666655
1.7,512,512,2,0.11262004595232429,0.1126250690224749,0.107683175666655
1.7,512,512,3,0.10435868489897442,0.104548513804944,0.107683175666655
1.7,512,512,4,0.11161996028293869,0.11172655751509185,0.107683175666655
1.7,1024,512,0,0.0794772364523105,0.07953574717343771,0.07794957493141118
1.7,1024,512,1,0.08494027196153567,0.08502104373366999,0.07794957493141118
1.7,1024,512,2,0.08730443918042116,0.08755388955576345,0.07794957493141118
1.7,1024,512,3,0.07783829642328118,0.07774891126159228,0.07794957493141118
1.7,1024,512,4,0.08173094027271374,0.0817608820984709,0.07794957493141118
1.7,2048,512,0,0.057350933246952035,0.05741464149910631,0.05641699150380856
1.7,2048,512,1,0.05959024116738147,0.05965932742686389,0.05641699150380856
1.7,2048,512,2,0.06226626302067929,0.062345603591090606,0.05641699150380856
1.7,2048,512,3,0.05606318460040146,0.056183272444287155,0.05641699150380856
1.7,2048,512,4,0.057174058369612354,0.05727246319732253,0.05641699150380856
1.7,4096,512,0,0.04149835275856924,0.04161566414481225,0.040829815200310135
1.7,4096,512,1,0.04540261340466157,0.04546936873183798,0.040829815200310135
1.7,4096,512,2,0.04190493419672416,0.04202002415213797,0.040829815200310135
1.7,4096,512,3,0.04169618405038352,0.04178810578527661,0.040829815200310135
1.7,4096,512,4,0.04534072049284056,0.04544646895063577,0.040829815200310135
1.7,8192,512,0,0.029990792706310478,0.030073891195022698,0.02954933369016946
1.7,8192,512,1,0.0317040634630865,0.03179983636099729,0.02954933369016946
1.7,8192,512,2,0.027681699356848388,0.02779325361569379,0.02954933369016946
1.7,8192,512,3,0.029661906540647393,0.02974747014787855,0.02954933369016946
1.7,8192,512,4,0.031230706741699164,0.031316656618643135,0.02954933369016946
2.0,256,512,0,0.03811594990355858,0.0381370078730269,0.04237938562977577
2.0,256,512,1,0.049687358603565594,0.04970684099092007,0.04237938562977577
2.0,256,512,2,0.037127402737650694,0.03717125995740859,0.04237938562977577
2.0,256,512,3,0.05008854827417811,0.05007719033498859,0.04237938562977577
2.0,256,512,4,0.04006452621276043,0.04009994244122391,0.04237938562977577
2.0,512,512,0,0.023130774491172772,0.023167809645205005,0.026726267089098896
2.0,512,512,1,0.029519269776302162,0.02957252374642514,0.026726267089098896
2.0,512,512,2,0.02790351007852244,0.02791374845659349,0.026726267089098896
2.0,512,512,3,0.025373773556555766,0.02542362082789547,0.026726267089098896
2.0,512,512,4,0.02767117961321094,0.027691294793232926,0.026726267089098896
