T_target,T_eff,N,K,seed,last,average,floor,s,a,b,mu,eta,subset_prefactor,d
4096,3978,153,26,0,0.05752380003249515,0.06509947702753477,0.05964239868160701,1.5,2.0,2.0,1.0,0.2,1.0,8192
4096,3978,153,26,1,0.05608850706765322,0.05891340502058223,0.05964239868160701,1.5,2.0,2.0,1.0,0.2,1.0,8192
4096,3978,153,26,2,0.08045200345677339,0.08568810778263174,0.05964239868160701,1.5,2.0,2.0,1.0,0.2,1.0,8192
4096,3978,153,26,3,0.08204851411349257,0.0861160504160136,0.05964239868160701,1.5,2.0,2.0,1.0,0.2,1.0,8192
4096,3978,153,26,4,0.04372515118138362,0.048938677168987525,0.05964239868160701,1.5,2.0,2.0,1.0,0.2,1.0,8192
8192,7967,257,31,0,0.03901166207076363,0.044353095773832264,0.04226973655210249,1.5,2.0,2.0,1.0,0.2,1.0,8192
8192,7967,257,31,1,0.05114759017915042,0.05326121634799475,0.04226973655210249,1.5,2.0,2.0,1.0,0.2,1.0,8192
8192,7967,257,31,2,0.045397703299375744,0.04807220331652808,0.04226973655210249,1.5,2.0,2.0,1.0,0.2,1.0,8192
8192,7967,257,31,3,0.05262613865610939,0.0538702354329746,0.04226973655210249,1.5,2.0,2.0,1.0,0.2,1.0,8192
8192,7967,257,31,4,0.04110409803632328,0.04388070438417175,0.04226973655210249,1.5,2.0,2.0,1.0,0.2,1.0,8192
16384,16021,433,37,0,0.02278084315595116,0.025178148695501747,0.029879532291429475,1.5,2.0,2.0,1.0,0.2,1.0,8192
16384,16021,433,37,1,0.031581963041639856,0.03334166673162233,0.029879532291429475,1.5,2.0,2.0,1.0,0.2,1.0,8192
16384,16021,433,37,2,0.028627101961467557,0.030617124583738484,0.029879532291429475,1.5,2.0,2.0,1.0,0.2,1.0,8192
16384,16021,433,37,3,0.03343966518784075,0.03586563767115826,0.029879532291429475,1.5,2.0,2.0,1.0,0.2,1.0,8192
16384,16021,433,37,4,0.029990599822239897,0.03186398730048734,0.029879532291429475,1.5,2.0,2.0,1.0,0.2,1.0,8192
32768,32760,728,45,0,0.018962910055869104,0.01995466594686299,0.021143189237155937,1.5,2.0,2.0,1.0,0.2,1.0,8192
32768,32760,728,45,1,0.02210579173031041,0.023443889875478328,0.021143189237155937,1.5,2.0,2.0,1.0,0.2,1.0,8192
32768,32760,728,45,2,0.022461204355194463,0.024323671224054037,0.021143189237155937,1.5,2.0,2.0,1.0,0.2,1.0,8192
32768,32760,728,45,3,0.0211831255573507,0.022566744606964267,0.021143189237155937,1.5,2.0,2.0,1.0,0.2,1.0,8192
32768,32760,728,45,4,0.024105539100024474,0.025255971246421156,0.021143189237155937,1.5,2.0,2.0,1.0,0.2,1.0,8192
65536,64872,1224,53,0,0.015014918648926746,0.0160480510974485,0.014957941958218526,1.5,2.0,2.0,1.0,0.2,1.0,8192
65536,64872,1224,53,1,0.017098642057295575,0.018169123329548884,0.014957941958218526,1.5,2.0,2.0,1.0,0.2,1.0,8192
65536,64872,1224,53,2,0.01839618173112516,0.019184566964018292,0.014957941958218526,1.5,2.0,2.0,1.0,0.2,1.0,8192
65536,64872,1224,53,3,0.014696262724990356,0.01600240482803213,0.014957941958218526,1.5,2.0,2.0,1.0,0.2,1.0,8192
65536,64872,1224,53,4,0.017104465541986483,0.018176029238863127,0.014957941958218526,1.5,2.0,2.0,1.0,0.2,1.0,8192
131072,129780,2060,63,0,0.013215452061768902,0.012499848743988004,0.010573753150124555,1.5,2.0,2.0,1.0,0.2,1.0,8192
131072,129780,2060,63,1,0.011182504344104543,0.011910584213113645,0.010573753150124555,1.5,2.0,2.0,1.0,0.2,1.0,8192
131072,129780,2060,63,2,0.01256758995661941,0.013401838816845995,0.010573753150124555,1.5,2.0,2.0,1.0,0.2,1.0,8192
131072,129780,2060,63,3,0.010553102430175385,0.011287930600471383,0.010573753150124555,1.5,2.0,2.0,1.0,0.2,1.0,8192
131072,129780,2060,63,4,0.011169925183169428,0.012192944814411312,0.010573753150124555,1.5,2.0,2.0,1.0,0.2,1.0,8192
262144,259800,3464,75,0,0.007424529955459337,0.007941010127339875,0.007478349965356347,1.5,2.0,2.0,1.0,0.2,1.0,8192
262144,259800,3464,75,1,0.008649563731826793,0.008798789829751474,0.007478349965356347,1.5,2.0,2.0,1.0,0.2,1.0,8192
262144,259800,3464,75,2,0.007623623793481102,0.008104646710639754,0.007478349965356347,1.5,2.0,2.0,1.0,0.2,1.0,8192
262144,259800,3464,75,3,0.007932003952465749,0.008376514274942168,0.007478349965356347,1.5,2.0,2.0,1.0,0.2,1.0,8192
262144,259800,3464,75,4,0.008717402003496168,0.009159937546568735,0.007478349965356347,1.5,2.0,2.0,1.0,0.2,1.0,8192
524288,518603,5827,89,0,0.005647490053155405,0.005998581997694141,0.005287652670749769,1.5,2.0,2.0,1.0,0.2,1.0,8192
524288,518603,5827,89,1,0.0061090955765046445,0.006410008271150561,0.005287652670749769,1.5,2.0,2.0,1.0,0.2,1.0,8192
524288,518603,5827,89,2,0.004879015309204894,0.005256280142081298,0.005287652670749769,1.5,2.0,2.0,1.0,0.2,1.0,8192
524288,518603,5827,89,3,0.005160239495650672,0.005549842015320588,0.005287652670749769,1.5,2.0,2.0,1.0,0.2,1.0,8192
524288,518603,5827,89,4,0.006255784565550018,0.0064782784880024445,0.005287652670749769,1.5,2.0,2.0,1.0,0.2,1.0,8192
1048576,1048493,9799,107,0,0.0039318919158895845,0.004023237678391506,0.003739427613328953,1.5,2.0,2.0,1.0,0.2,1.0,8192
1048576,1048493,9799,107,1,0.0036900565113790885,0.00395399043830515,0.003739427613328953,1.5,2.0,2.0,1.0,0.2,1.0,8192
1048576,1048493,9799,107,2,0.0035096921581352298,0.0037513840925156475,0.003739427613328953,1.5,2.0,2.0,1.0,0.2,1.0,8192
1048576,1048493,9799,107,3,0.003693312466257945,0.003939229208592299,0.003739427613328953,1.5,2.0,2.0,1.0,0.2,1.0,8192
1048576,1048493,9799,107,4,0.004318741582635909,0.004325346330507801,0.003739427613328953,1.5,2.0,2.0,1.0,0.2,1.0,8192
