m,n,K,seed,last,average,capacity_tail,coverage_floor
64,32768,256,0,0.01550356543933893,0.015503597105971238,0.01550356543933893,0.01550356543935148
64,32768,256,1,0.01550356543933893,0.015503601806515275,0.01550356543933893,0.01550356543935148
64,32768,256,2,0.01550356543933893,0.015503602847443513,0.01550356543933893,0.01550356543935148
64,32768,256,3,0.01550356543933893,0.015503604091502367,0.01550356543933893,0.01550356543935148
64,32768,256,4,0.01550356543933893,0.015503603361932804,0.01550356543933893,0.01550356543935148
128,32768,256,0,0.007782061893764614,0.007782484725851549,0.007782061893764614,0.007782167679236682
128,32768,256,1,0.007782061893764614,0.007782450718898602,0.007782061893764614,0.007782167679236682
128,32768,256,2,0.007782061893764614,0.00778239790759237,0.007782061893764614,0.007782167679236682
128,32768,256,3,0.007782061893764614,0.0077823955074574624,0.007782061893764614,0.007782167679236682
128,32768,256,4,0.007782061893764614,0.007782383623703526,0.007782061893764614,0.007782167679236682
256,32768,256,0,0.003898630543350627,0.0039026961695315817,0.003898630539545897,0.0039355731009029175
256,32768,256,1,0.0039162846606482105,0.003919648544240123,0.003898630539545897,0.0039355731009029175
256,32768,256,2,0.003933126021580131,0.003938782295131549,0.003898630539545897,0.0039355731009029175
256,32768,256,3,0.003930259350496988,0.003935891320491475,0.003898630539545897,0.0039355731009029175
256,32768,256,4,0.003917209614228497,0.003922250147350462,0.003898630539545897,0.0039355731009029175
512,32768,256,0,0.002288423315729922,0.0023084936621773737,0.001951218893129673,0.002292194205873337
512,32768,256,1,0.002220969492298319,0.0022397039859294466,0.001951218893129673,0.002292194205873337
512,32768,256,2,0.0022375691440102686,0.002258217893159412,0.001951218893129673,0.002292194205873337
512,32768,256,3,0.0023255828609967263,0.0023468859007258302,0.001951218893129673,0.002292194205873337
512,32768,256,4,0.002214441967539998,0.0022353708521589194,0.001951218893129673,0.002292194205873337
1024,32768,256,0,0.0018470004106627578,0.0018803320993991918,0.0009760858180621963,0.001805207620954434
1024,32768,256,1,0.0017205673143017674,0.0017599628096617425,0.0009760858180621963,0.001805207620954434
1024,32768,256,2,0.0017085807347270246,0.0017455139139372607,0.0009760858180621963,0.001805207620954434
1024,32768,256,3,0.0017987285957765924,0.0018324329582728228,0.0009760858180621963,0.001805207620954434
1024,32768,256,4,0.0018096905330393094,0.0018426553513046034,0.0009760858180621963,0.001805207620954434
2048,32768,256,0,0.0018745319008231353,0.0019163317122438852,0.0004881620601130019,0.0016975105461081142
2048,32768,256,1,0.0017733607716317317,0.0018177314328522457,0.0004881620601130019,0.0016975105461081142
2048,32768,256,2,0.001764125144197791,0.0018089682756209943,0.0004881620601130019,0.0016975105461081142
2048,32768,256,3,0.0017759650701283962,0.0018164333084408502,0.0004881620601130019,0.0016975105461081142
2048,32768,256,4,0.0018475979473644012,0.001891314382352484,0.0004881620601130019,0.0016975105461081142
4096,32768,256,0,0.0017395530759589215,0.0017827662875546922,0.00024411082510293147,0.0016767769454319854
4096,32768,256,1,0.0017314105119695315,0.0017783481872746974,0.00024411082510293147,0.0016767769454319854
4096,32768,256,2,0.0016097198633228506,0.0016549337371420869,0.00024411082510293147,0.0016767769454319854
4096,32768,256,3,0.0016821063136107438,0.0017311210942398975,0.00024411082510293147,0.0016767769454319854
4096,32768,256,4,0.0016489724483849675,0.0016946212080544984,0.00024411082510293147,0.0016767769454319854
