mu,n,K,seed,protocol,last,average,floor
0.35,2048,256,2,with_replacement,0.0244151363247226,0.024432904461024415,0.021373447279393193
0.35,2048,1,2,reshuffle,0.03650044062120438,0.04953279831990389,0.021373447279393193
0.35,2048,2,2,reshuffle,0.030901083763081767,0.0391617954997113,0.021373447279393193
0.35,2048,4,2,reshuffle,0.027037512850300358,0.0323061123516374,0.021373447279393193
0.35,2048,8,2,reshuffle,0.02523601812940479,0.02807376902575549,0.021373447279393193
0.35,2048,16,2,reshuffle,0.024525550709818114,0.02582823312679112,0.021373447279393193
0.35,2048,32,2,reshuffle,0.024422788891961655,0.024883915320616835,0.021373447279393193
0.35,2048,64,2,reshuffle,0.02441536387299951,0.0245581201166102,0.021373447279393193
0.35,2048,128,2,reshuffle,0.024415137076846408,0.0244603022119559,0.021373447279393193
0.35,2048,256,2,reshuffle,0.024415136325361377,0.024431002080358043,0.021373447279393193
0.35,2048,1,2,cyclic,0.03648620669914159,0.053405908593169064,0.021373447279393193
0.35,2048,2,2,cyclic,0.03070604209531406,0.040753537236850115,0.021373447279393193
0.35,2048,4,2,cyclic,0.026932733365050296,0.03295860280460228,0.021373447279393193
0.35,2048,8,2,cyclic,0.025115109872609308,0.02828067021933945,0.021373447279393193
0.35,2048,16,2,cyclic,0.024546468683864148,0.025896630483709413,0.021373447279393193
0.35,2048,32,2,cyclic,0.02443088879643651,0.024908761418357694,0.021373447279393193
0.35,2048,64,2,cyclic,0.024416312728922945,0.024568487970796065,0.021373447279393193
0.35,2048,128,2,cyclic,0.02441515628700847,0.024464858496392527,0.021373447279393193
0.35,2048,256,2,cyclic,0.02441513633389312,0.02443310336265278,0.021373447279393193
0.35,2048,1,3,with_replacement,0.04809515024670631,0.07121201446936785,0.021373447279393193
0.35,2048,2,3,with_replacement,0.03595280638892986,0.04930504168031504,0.021373447279393193
0.35,2048,4,3,with_replacement,0.028074910731286193,0.03667753050713522,0.021373447279393193
0.35,2048,8,3,with_replacement,0.022508509614732754,0.028385050910488943,0.021373447279393193
0.35,2048,16,3,with_replacement,0.021767591983306637,0.02371915471637534,0.021373447279393193
0.35,2048,32,3,with_replacement,0.021326530450012808,0.022024060081648464,0.021373447279393193
0.35,2048,64,3,with_replacement,0.021296029386788255,0.021496077032694776,0.021373447279393193
0.35,2048,128,3,with_replacement,0.021290225537216247,0.021346044053755404,0.021373447279393193
0.35,2048,256,3,with_replacement,0.02128978248321004,0.021304100906210224,0.021373447279393193
0.35,2048,1,3,reshuffle,0.03739544517088207,0.05149018859837274,0.021373447279393193
0.35,2048,2,3,reshuffle,0.032415069970196594,0.039221683710852835,0.021373447279393193
0.35,2048,4,3,reshuffle,0.024028152156069925,0.030857751759184805,0.021373447279393193
0.35,2048,8,3,reshuffle,0.02196865347391831,0.025529129980134884,0.021373447279393193
0.35,2048,16,3,reshuffle,0.021434510205778533,0.022813177277083853,0.021373447279393193
0.35,2048,32,3,reshuffle,0.021372355986587772,0.021759347712042885,0.021373447279393193
0.35,2048,64,3,reshuffle,0.02129727118583715,0.021424898288601474,0.021373447279393193
0.35,2048,128,3,reshuffle,0.02129035245694854,0.021326140444231277,0.021373447279393193
0.35,2048,256,3,reshuffle,0.021289778701848856,0.021298718004517644,0.021373447279393193
0.35,2048,1,3,cyclic,0.036708953094282834,0.05798958088300467,0.021373447279393193
0.35,2048,2,3,cyclic,0.028841796967771196,0.04150704826602772,0.021373447279393193
0.35,2048,4,3,cyclic,0.024036782461934338,0.03159110233701353,0.021373447279393193
0.35,2048,8,3,cyclic,0.021953636940787145,0.02575713329256697,0.021373447279393193
0.35,2048,16,3,cyclic,0.02142391902328319,0.02287292426430661,0.021373447279393193
0.35,2048,32,3,cyclic,0.021320028262603662,0.021776174853589247,0.021373447279393193
0.35,2048,64,3,cyclic,0.02129533731406249,0.021429657598836017,0.021373447279393193
