n,K,seed,protocol,last,average,floor,eta,mu,s,a,b,d
256,1,0,with_replacement_clipped,0.11546492766561259,0.15729932504900546,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,2,0,with_replacement_clipped,0.08162635934616753,0.12018621239239356,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,4,0,with_replacement_clipped,0.0646655375142243,0.08520316122872316,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,8,0,with_replacement_clipped,0.04653005378867834,0.062381868095383375,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,16,0,with_replacement_clipped,0.04649567248903912,0.049370456095356015,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,32,0,with_replacement_clipped,0.04123185336667172,0.04368937969873612,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,64,0,with_replacement_clipped,0.040766523380772086,0.04165445442689009,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,128,0,with_replacement_clipped,0.04075483580443738,0.04100307661477651,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,256,0,with_replacement_clipped,0.040734139779600616,0.04081309909294566,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,512,0,with_replacement_clipped,0.04073064856772012,0.040754189051004225,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,1,0,reshuffle_clipped,0.0986230131840788,0.1467992322872373,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,2,0,reshuffle_clipped,0.09051689812319255,0.10778269831708766,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,4,0,reshuffle_clipped,0.055104692418024126,0.07814785624802684,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,8,0,reshuffle_clipped,0.04591503204635832,0.05919615358746753,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,16,0,reshuffle_clipped,0.04335882865181216,0.04839414088730666,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,32,0,reshuffle_clipped,0.040938060930088366,0.043398946112033716,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,64,0,reshuffle_clipped,0.040798742946178024,0.04154749458643359,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,128,0,reshuffle_clipped,0.040793476344047494,0.04097431545870977,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,256,0,reshuffle_clipped,0.04073463785275334,0.04080472137273199,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,512,0,reshuffle_clipped,0.04072903653833427,0.04075176049561454,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,1,0,reshuffle_unclipped,0.09823452540852343,0.1466217194570828,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,2,0,reshuffle_unclipped,0.09051820247670032,0.10763019192058607,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,4,0,reshuffle_unclipped,0.05514397864603275,0.07810804780741853,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,8,0,reshuffle_unclipped,0.04596864696088579,0.05921289243127078,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,16,0,reshuffle_unclipped,0.04338915453585374,0.04843069087277794,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,32,0,reshuffle_unclipped,0.040935265045090596,0.04341319971133747,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,64,0,reshuffle_unclipped,0.04079783098452483,0.04154479759091579,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,128,0,reshuffle_unclipped,0.0407934332468628,0.04097103065878706,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,256,0,reshuffle_unclipped,0.040734629275641095,0.04080366981050487,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,512,0,reshuffle_unclipped,0.040729035946874236,0.04075147972594352,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,1,1,with_replacement_clipped,0.12953976403290274,0.17556777879075108,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,2,1,with_replacement_clipped,0.09781379723019175,0.1272531066936136,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,4,1,with_replacement_clipped,0.07100660516365731,0.09443475152538473,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,8,1,with_replacement_clipped,0.06358906294504223,0.0717370043056302,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,16,1,with_replacement_clipped,0.05147373920630483,0.057565137914930335,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,32,1,with_replacement_clipped,0.044418531610944154,0.04971683421802046,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,64,1,with_replacement_clipped,0.04296137738011388,0.04552372776010496,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,128,1,with_replacement_clipped,0.042520927828687154,0.043587894025890674,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,256,1,with_replacement_clipped,0.04240848240502037,0.04278109522171385,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,512,1,with_replacement_clipped,0.042403584219467085,0.0425052877934885,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,1,1,reshuffle_clipped,0.10853395229118418,0.1672347010272815,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,2,1,reshuffle_clipped,0.08118820119339981,0.12214309779178549,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,4,1,reshuffle_clipped,0.07041974241033838,0.08892164912990666,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,8,1,reshuffle_clipped,0.051619707262309904,0.06761489145413938,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,16,1,reshuffle_clipped,0.04687837209928752,0.05501373667230895,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,32,1,reshuffle_clipped,0.04403733396724803,0.04835784641930209,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,64,1,reshuffle_clipped,0.042836250666449666,0.04496721947595336,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,128,1,reshuffle_clipped,0.04247341921389139,0.04335291431406921,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,256,1,reshuffle_clipped,0.04240699869119759,0.04269734905843089,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,512,1,reshuffle_clipped,0.04240355751494572,0.04248123960616847,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,1,1,reshuffle_unclipped,0.10785852529848657,0.16697743427705058,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,2,1,reshuffle_unclipped,0.08095568481156748,0.12165595664954454,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,4,1,reshuffle_unclipped,0.0706772732962641,0.08865300248867308,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,8,1,reshuffle_unclipped,0.051702509883332005,0.06750024820845998,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,16,1,reshuffle_unclipped,0.046827212037271075,0.05493255122855581,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,32,1,reshuffle_unclipped,0.04400734733734549,0.04831875284374781,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,64,1,reshuffle_unclipped,0.042834591232637824,0.04495498240651255,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,128,1,reshuffle_unclipped,0.042472933013401,0.04334909900542178,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,256,1,reshuffle_unclipped,0.04240699524049984,0.04269617919685094,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,512,1,reshuffle_unclipped,0.0424035575175392,0.042480937785755596,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,1,2,with_replacement_clipped,0.11541917097273414,0.17994590989973838,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,2,2,with_replacement_clipped,0.09282777649809128,0.12884350758759566,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,4,2,with_replacement_clipped,0.06520190955092288,0.0921768733443632,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,8,2,with_replacement_clipped,0.04644194039522605,0.06678538939679284,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,16,2,with_replacement_clipped,0.04210515827957156,0.05135889681983098,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,32,2,with_replacement_clipped,0.03946691787091965,0.04388405414461624,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,64,2,with_replacement_clipped,0.03932248012492321,0.04071186423286037,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,128,2,with_replacement_clipped,0.0389255133117099,0.03950076487057003,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,256,2,with_replacement_clipped,0.03891154991048081,0.0390847891077301,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,512,2,with_replacement_clipped,0.03890521555310886,0.03895222853182771,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,1,2,reshuffle_clipped,0.09232673093736866,0.14639727398301872,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,2,2,reshuffle_clipped,0.0721036044073376,0.10693345562920052,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,4,2,reshuffle_clipped,0.056994051804444494,0.07972107316530808,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,8,2,reshuffle_clipped,0.04586248544994068,0.0612348255521624,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,16,2,reshuffle_clipped,0.04349938318678451,0.0494024788593672,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,32,2,reshuffle_clipped,0.039394701547394294,0.0432282688014303,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,64,2,reshuffle_clipped,0.03905906796480933,0.040511534046548774,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,128,2,reshuffle_clipped,0.038944759944504095,0.03945235101363396,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,256,2,reshuffle_clipped,0.038909503360489164,0.03907119850128203,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,512,2,reshuffle_clipped,0.038905192804867685,0.03894914183185201,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,1,2,reshuffle_unclipped,0.0915433506966311,0.14502349027927622,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,2,2,reshuffle_unclipped,0.07198960986760983,0.10621429530221412,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,4,2,reshuffle_unclipped,0.05693526795672584,0.07937442079767772,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,8,2,reshuffle_unclipped,0.04593997646380462,0.06112993472443539,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,16,2,reshuffle_unclipped,0.04358241836143906,0.049370405921274896,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,32,2,reshuffle_unclipped,0.03939303892755582,0.04321560893032084,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,64,2,reshuffle_unclipped,0.03905851884619815,0.040504933068326913,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,128,2,reshuffle_unclipped,0.03894470314886207,0.03945019678012133,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,256,2,reshuffle_unclipped,0.0389095019662018,0.039070621327686995,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,512,2,reshuffle_unclipped,0.03890519281696762,0.03894899260838476,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,1,3,with_replacement_clipped,0.1257124276854799,0.16636391676083942,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,2,3,with_replacement_clipped,0.08386474806205045,0.11916325588003275,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,4,3,with_replacement_clipped,0.07382490095078141,0.09094739091074093,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,8,3,with_replacement_clipped,0.061836060984851254,0.07454238580274561,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,16,3,with_replacement_clipped,0.05653035401336678,0.0639744259664805,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,32,3,with_replacement_clipped,0.05333455161248182,0.05774919237404597,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,64,3,with_replacement_clipped,0.052187117103831095,0.05432904343617396,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,128,3,with_replacement_clipped,0.05196363710867503,0.05275804857537838,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,256,3,with_replacement_clipped,0.05194529051552382,0.052172104227091134,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,512,3,with_replacement_clipped,0.0519453334507632,0.05200360611320128,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,1,3,reshuffle_clipped,0.09359299943237805,0.1716527180428075,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,2,3,reshuffle_clipped,0.0777332753635389,0.11279979553648026,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,4,3,reshuffle_clipped,0.06801417787625937,0.08594030540527557,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,8,3,reshuffle_clipped,0.0730053594353521,0.07158861445243693,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,16,3,reshuffle_clipped,0.05695197809814327,0.06276830432743505,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,32,3,reshuffle_clipped,0.05349277649163655,0.057298253995242535,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,64,3,reshuffle_clipped,0.05221174140149359,0.05422274456984179,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,128,3,reshuffle_clipped,0.051960659516162626,0.05270919589445163,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,256,3,reshuffle_clipped,0.05194523873716329,0.05215889020924689,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,512,3,reshuffle_clipped,0.05194533820218193,0.05200258093783181,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,1,3,reshuffle_unclipped,0.09336484506539787,0.16854751368450982,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,2,3,reshuffle_unclipped,0.07774758480877325,0.11191596405131317,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,4,3,reshuffle_unclipped,0.06805000057854786,0.0856813907203497,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,8,3,reshuffle_unclipped,0.07309949530867983,0.07153981224313909,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
256,16,3,reshuffle_unclipped,0.05697236653641048,0.06277701990769682,0.04237941566824915,0.2,1.0,1.5,2.0,2.0,4096
