mu,eta,clip,K,seed,last,average,floor
1.0,0.2,True,1,0,0.035583712024834575,0.0505885856302198,0.010615239454383585
1.0,0.2,True,2,0,0.027692461905249783,0.037343645946267726,0.010615239454383585
1.0,0.2,True,4,0,0.02068064391973809,0.028061774979840165,0.010615239454383585
1.0,0.2,True,8,0,0.015962515248246052,0.021221468868043568,0.010615239454383585
1.0,0.2,True,16,0,0.012914374075210221,0.016280965620412938,0.010615239454383585
1.0,0.2,True,32,0,0.011657969263728881,0.013273066634705092,0.010615239454383585
1.0,0.2,True,64,0,0.01126828395939189,0.011867411072652479,0.010615239454383585
1.0,0.2,False,1,0,0.03559889710565759,0.050428835054503074,0.010615239454383585
1.0,0.2,False,2,0,0.02767856808866121,0.03726295913109478,0.010615239454383585
1.0,0.2,False,4,0,0.02067256808747704,0.028025582603049617,0.010615239454383585
1.0,0.2,False,8,0,0.015965072201998796,0.02120383752383468,0.010615239454383585
1.0,0.2,False,16,0,0.01292576355900534,0.0162738129017838,0.010615239454383585
1.0,0.2,False,32,0,0.011654838644539112,0.013270153270416082,0.010615239454383585
1.0,0.2,False,64,0,0.011268186972738008,0.011866385152298988,0.010615239454383585
1.0,0.2,True,1,1,0.03490965543697329,0.05187775501018693,0.010615239454383585
1.0,0.2,True,2,1,0.02607849404852237,0.03747046228775589,0.010615239454383585
1.0,0.2,True,4,1,0.020677050233667976,0.027644017941915944,0.010615239454383585
1.0,0.2,True,8,1,0.018943041726863105,0.02107717861404597,0.010615239454383585
1.0,0.2,True,16,1,0.013482696841151706,0.016627255128912822,0.010615239454383585
1.0,0.2,True,32,1,0.011989020688796447,0.013843236428860203,0.010615239454383585
1.0,0.2,True,64,1,0.011764963099924381,0.012397863414284418,0.010615239454383585
1.0,0.2,False,1,1,0.034863658989275195,0.05148721560655545,0.010615239454383585
1.0,0.2,False,2,1,0.026193277807019095,0.03728087401846697,0.010615239454383585
1.0,0.2,False,4,1,0.020592634143444727,0.027515827095661555,0.010615239454383585
1.0,0.2,False,8,1,0.018913504566986806,0.020981380775775292,0.010615239454383585
1.0,0.2,False,16,1,0.013457497861802156,0.016567583370189713,0.010615239454383585
1.0,0.2,False,32,1,0.011979586678345634,0.01380914352221849,0.010615239454383585
1.0,0.2,False,64,1,0.011757117834354945,0.012383440429310557,0.010615239454383585
1.0,0.2,True,1,2,0.03480982782569006,0.048029785600596626,0.010615239454383585
1.0,0.2,True,2,2,0.02330003133851257,0.034867414988189085,0.010615239454383585
1.0,0.2,True,4,2,0.01763366002364446,0.025351001947486115,0.010615239454383585
1.0,0.2,True,8,2,0.01424889172381814,0.018968278882715774,0.010615239454383585
1.0,0.2,True,16,2,0.01204536797893668,0.014955870459192071,0.010615239454383585
1.0,0.2,True,32,2,0.011354239201235657,0.012646500480357538,0.010615239454383585
1.0,0.2,True,64,2,0.011313751554914507,0.01152340935681152,0.010615239454383585
1.0,0.2,False,1,2,0.0345445081230447,0.0476729174988398,0.010615239454383585
1.0,0.2,False,2,2,0.023191419810770313,0.034592160960428504,0.010615239454383585
1.0,0.2,False,4,2,0.017593567527321018,0.02517897065284487,0.010615239454383585
1.0,0.2,False,8,2,0.014235506316737312,0.01888165894623691,0.010615239454383585
1.0,0.2,False,16,2,0.012041937372290295,0.014920033839587617,0.010615239454383585
1.0,0.2,False,32,2,0.011350791097802671,0.012632954586589942,0.010615239454383585
1.0,0.2,False,64,2,0.011312710844527809,0.011518035847049857,0.010615239454383585
1.0,0.2,True,1,3,0.037631969119374165,0.0502272170354168,0.010615239454383585
1.0,0.2,True,2,3,0.025453394690346177,0.03558996220980514,0.010615239454383585
1.0,0.2,True,4,3,0.019789874684506256,0.026500649249867943,0.010615239454383585
1.0,0.2,True,8,3,0.019504270814543652,0.02050632156067041,0.010615239454383585
