T,N,K,seed,last,average,floor
262144,256,1024,0,0.03811596623362081,0.0381210584698153,0.04237938562977577
262144,256,1024,1,0.04968735860129483,0.049692255638938435,0.04237938562977577
262144,256,1024,2,0.037127879526592675,0.03713931612340631,0.04237938562977577
262144,256,1024,3,0.05008854094541323,0.050075587182470876,0.04237938562977577
262144,256,1024,4,0.040064524339774796,0.040073382783390295,0.04237938562977577
262144,512,512,0,0.023130774491172772,0.023167809645205005,0.026726267089098896
262144,512,512,1,0.029519269776302162,0.02957252374642514,0.026726267089098896
262144,512,512,2,0.02790351007852244,0.02791374845659349,0.026726267089098896
262144,512,512,3,0.025373773556555766,0.02542362082789547,0.026726267089098896
262144,512,512,4,0.02767117961321094,0.027691294793232926,0.026726267089098896
262144,1024,256,0,0.0172461159872358,0.017299968231536237,0.016845637376642332
262144,1024,256,1,0.019150672120181317,0.019218580624629288,0.016845637376642332
262144,1024,256,2,0.019834699616117737,0.019995456292307395,0.016845637376642332
262144,1024,256,3,0.016231815689578984,0.01624401645752991,0.016845637376642332
262144,1024,256,4,0.017823560566525478,0.017888952792649754,0.016845637376642332
262144,2048,128,0,0.011148174539140892,0.01132779658428651,0.01061499937018547
262144,2048,128,1,0.011266297287908577,0.011465284902786595,0.01061499937018547
262144,2048,128,2,0.012565143988289047,0.012820481351255436,0.01061499937018547
262144,2048,128,3,0.010490472611136043,0.010706242061865904,0.01061499937018547
262144,2048,128,4,0.010693706539713736,0.011012314935410435,0.01061499937018547
262144,4096,64,0,0.006977849600439621,0.007539336798987467,0.006688008024161136
262144,4096,64,1,0.00789021045903412,0.00849551559402009,0.006688008024161136
262144,4096,64,2,0.007220214995809754,0.007649164108775352,0.006688008024161136
262144,4096,64,3,0.007065147998585248,0.0077111049927912866,0.006688008024161136
262144,4096,64,4,0.007829052336776702,0.008346170853864621,0.006688008024161136
262144,8192,32,0,0.005222425192132862,0.005762599957813284,0.004213607946682828
262144,8192,32,1,0.005157376757131877,0.006291105039852346,0.004213607946682828
262144,8192,32,2,0.004265309312118712,0.005501319081934464,0.004213607946682828
262144,8192,32,3,0.004598322469587746,0.005703646817550289,0.004213607946682828
262144,8192,32,4,0.005054147237351264,0.006119855327948211,0.004213607946682828
262144,16384,16,0,0.003490094070824621,0.004875568357655733,0.0026547786366407163
262144,16384,16,1,0.0035456976881051067,0.004976258791150413,0.0026547786366407163
262144,16384,16,2,0.003764535862321512,0.004806684111915997,0.0026547786366407163
262144,16384,16,3,0.0034980746089871622,0.004858259246674161,0.0026547786366407163
262144,16384,16,4,0.003726959848718337,0.005101931027279325,0.0026547786366407163
262144,32768,8,0,0.0031376730243393523,0.004548703167691985,0.0016729961962271389
262144,32768,8,1,0.003194303106833711,0.004666957417950749,0.0016729961962271389
262144,32768,8,2,0.0035191756380137215,0.004551023794941422,0.0016729961962271389
262144,32768,8,3,0.0036925813969005696,0.004580538974015357,0.0016729961962271389
262144,32768,8,4,0.003209449518530599,0.00462991649307609,0.0016729961962271389
