a,s,b,mu,n,K,seed,last,average,floor
2.0,1.5,2.0,1.0,512,1,0,0.06857153517345864,0.12452017103149149,0.026726267089098896
2.0,1.5,2.0,1.0,512,2,0,0.05302569793408227,0.0812915361792405,0.026726267089098896
2.0,1.5,2.0,1.0,512,4,0,0.03878255241866355,0.056256622385599225,0.026726267089098896
2.0,1.5,2.0,1.0,512,8,0,0.030425491235873587,0.04112863396514473,0.026726267089098896
2.0,1.5,2.0,1.0,512,16,0,0.02512060819798697,0.03133562211877031,0.026726267089098896
2.0,1.5,2.0,1.0,512,32,0,0.02372517376500082,0.026304785504599096,0.026726267089098896
2.0,1.5,2.0,1.0,512,64,0,0.02326409514017704,0.024292681723253967,0.026726267089098896
2.0,1.5,2.0,1.0,512,128,0,0.023214128088745106,0.023538049649140306,0.026726267089098896
2.0,1.5,2.0,1.0,512,256,0,0.02313553927807696,0.023267025373063698,0.026726267089098896
2.0,1.5,2.0,1.0,512,512,0,0.023130774491172772,0.023167809645205005,0.026726267089098896
2.0,1.5,2.0,1.0,512,1,1,0.08573106083640131,0.09445721404700762,0.026726267089098896
2.0,1.5,2.0,1.0,512,2,1,0.05589614251114642,0.07010848863509828,0.026726267089098896
2.0,1.5,2.0,1.0,512,4,1,0.040340732398766566,0.05322552043378303,0.026726267089098896
2.0,1.5,2.0,1.0,512,8,1,0.03381897254871882,0.04190897920689951,0.026726267089098896
2.0,1.5,2.0,1.0,512,16,1,0.031285666527568375,0.0355146153697737,0.026726267089098896
2.0,1.5,2.0,1.0,512,32,1,0.03017794706344823,0.03225277784855384,0.026726267089098896
2.0,1.5,2.0,1.0,512,64,1,0.029669042000814938,0.030658605907085645,0.026726267089098896
2.0,1.5,2.0,1.0,512,128,1,0.029521986997695367,0.02992965303992584,0.026726267089098896
2.0,1.5,2.0,1.0,512,256,1,0.029519771986932675,0.02966200355736439,0.026726267089098896
2.0,1.5,2.0,1.0,512,512,1,0.029519269776302162,0.02957252374642514,0.026726267089098896
2.0,1.5,2.0,1.0,512,1,2,0.09148094155021752,0.10916313933197443,0.026726267089098896
2.0,1.5,2.0,1.0,512,2,2,0.07896018874554357,0.08084370134050875,0.026726267089098896
2.0,1.5,2.0,1.0,512,4,2,0.03914406022543988,0.05809706096347513,0.026726267089098896
2.0,1.5,2.0,1.0,512,8,2,0.03236055608701166,0.042558139001084,0.026726267089098896
2.0,1.5,2.0,1.0,512,16,2,0.033845002726904404,0.03454961433165324,0.026726267089098896
2.0,1.5,2.0,1.0,512,32,2,0.02835706434773204,0.0304747299483775,0.026726267089098896
2.0,1.5,2.0,1.0,512,64,2,0.028004512217145665,0.028739313581124408,0.026726267089098896
2.0,1.5,2.0,1.0,512,128,2,0.027910874635872697,0.028132680261497192,0.026726267089098896
2.0,1.5,2.0,1.0,512,256,2,0.027903766972253632,0.027957679237346367,0.026726267089098896
2.0,1.5,2.0,1.0,512,512,2,0.02790351007852244,0.02791374845659349,0.026726267089098896
2.0,1.5,2.0,1.0,512,1,3,0.12667489717269648,0.12037918836521286,0.026726267089098896
2.0,1.5,2.0,1.0,512,2,3,0.056384690348686435,0.08525212366593403,0.026726267089098896
2.0,1.5,2.0,1.0,512,4,3,0.04478658978275457,0.06136300372703855,0.026726267089098896
2.0,1.5,2.0,1.0,512,8,3,0.034443003167434365,0.04497871351940023,0.026726267089098896
2.0,1.5,2.0,1.0,512,16,3,0.029816812044360465,0.035118600169436444,0.026726267089098896
2.0,1.5,2.0,1.0,512,32,3,0.026193146039492406,0.02957881924704445,0.026726267089098896
2.0,1.5,2.0,1.0,512,64,3,0.025590310123039833,0.026975222810939142,0.026726267089098896
2.0,1.5,2.0,1.0,512,128,3,0.02542944971575946,0.025938463924378003,0.026726267089098896
2.0,1.5,2.0,1.0,512,256,3,0.02537731258684192,0.02555171788794056,0.026726267089098896
2.0,1.5,2.0,1.0,512,512,3,0.025373773556555766,0.02542362082789547,0.026726267089098896
2.0,1.5,2.0,1.0,512,1,4,0.10233534426427841,0.0964231751331924,0.026726267089098896
2.0,1.5,2.0,1.0,512,2,4,0.05280041389016127,0.07009052513123294,0.026726267089098896
2.0,1.5,2.0,1.0,512,4,4,0.0698273256577313,0.05233327338193766,0.026726267089098896
2.0,1.5,2.0,1.0,512,8,4,0.033987838169150505,0.04233065595754148,0.026726267089098896
2.0,1.5,2.0,1.0,512,16,4,0.029876144755065042,0.03518667834243168,0.026726267089098896
2.0,1.5,2.0,1.0,512,32,4,0.029770092704639706,0.030687228371873113,0.026726267089098896
2.0,1.5,2.0,1.0,512,64,4,0.027712530519806676,0.028612728297821757,0.026726267089098896
2.0,1.5,2.0,1.0,512,128,4,0.027685828118116707,0.027939409254582513,0.026726267089098896
2.0,1.5,2.0,1.0,512,256,4,0.027673173668294745,0.027745828820709566,0.026726267089098896
2.0,1.5,2.0,1.0,512,512,4,0.02767117961321094,0.027691294793232926,0.026726267089098896
